43070,416,470,469
43085,389,457,470
43101,513,184,477
43117,489,424,474
43133,449,641,471
43149,572,251,472
43165,365,629,473
43180,475,583,469
43196,297,658,473
43212,343,481,470
43228,407,453,469
43244,327,237,468
43259,644,429,472
43275,608,635,469
43291,518,505,471
43307,655,668,469
43323,508,588,469
43339,691,635,468
43354,676,541,465
43370,587,426,463
43386,331,195,466
43402,367,358,463
43418,616,483,461
43433,321,333,462
43449,299,387,457
43465,308,202,462
43481,432,499,462
43497,675,473,463
43513,491,653,462
43528,491,620,457
43544,473,282,461
43560,567,324,460
43576,594,650,463
43592,491,631,466
43607,356,563,464
43623,367,314,464
43639,660,340,466
43655,490,386,469
43671,332,373,467
43687,695,644,468
43702,329,569,473
43718,343,616,474
43734,435,414,473
43750,412,276,474
43766,499,219,476
43781,508,457,474
43797,511,279,471
43813,513,398,469
43829,517,377,472
43845,518,627,483
43860,511,263,478
43876,517,582,479
43892,510,324,476
43908,511,503,482
43924,502,580,491
43940,516,572,486
43955,514,544,488
43971,506,579,488
43987,485,341,486
44003,506,296,485
44019,511,520,480
44034,496,357,483
44050,509,441,479
44066,509,579,484
44082,510,350,480
44098,508,481,480
44114,510,453,475
44129,511,442,476
44145,511,625,476
44161,478,611,481
44177,439,204,483
44193,464,574,481
44208,500,490,483
44224,511,587,485
44240,484,617,477
44256,469,594,478
44272,507,655,476
44288,511,601,477
44303,506,581,477
44319,393,342,474
44335,372,436,481
44351,576,594,478
44367,325,218,474
44383,304,469,476
